,Bits,Before,After
0,00110100,-1,3
1,00110101,-1,2
2,11001000,-1,3
3,01010001,0,0
4,01110001,0,0
5,11001100,3,4
6,01001100,1,1
7,11001110,3,3
8,00001100,4,4
9,11011001,1,-1
10,11010101,0,-1
11,10001110,3,3
12,01010100,2,0
13,01110100,-1,3
14,01011001,1,-1
15,00010000,-1,1
16,00011100,4,4
17,01000000,0,-1
18,00110000,-1,3
19,01001000,1,1
20,01110000,2,3
21,01011100,1,1
22,10011100,4,4
23,01010101,0,0
24,01000100,0,-1
25,01110101,2,3
26,01010000,2,3
27,00010100,2,0
28,10001100,4,4
29,01011000,1,1
30,11010001,0,-1
31,11011100,1,1
32,11011000,1,1
33,00000100,0,-1
34,01000001,0,-1
35,00011101,4,-1
36,01011101,1,4
37,00110001,-1,0
