,Bits,Before,After
0,01010001,0,0
1,01110001,0,0
2,11001100,3,3
3,01001100,1,1
4,11001110,3,3
5,00001100,4,4
6,11011001,1,1
7,11010101,0,0
8,10001110,3,3
9,01010100,2,2
10,01011001,1,1
11,00011100,4,4
12,01000000,0,0
13,01001000,1,1
14,01110000,2,2
15,11000001,-1,0
16,01011100,1,1
17,01010101,0,0
18,10011100,4,4
19,01110101,2,2
20,01010000,2,2
21,00010100,2,2
22,10001100,4,4
23,01011000,1,1
24,11010001,0,0
25,11011100,1,1
26,11011000,1,1
27,01100001,-1,0
28,00000100,0,0
29,01000001,0,0
30,00011101,4,4
31,01011101,1,1
32,01000100,0,0
